name,key,taxonomic_rank,order,family,genus
Sebacina_schweinitzii,10752676,SPECIES,Sebacinales,Sebacinaceae,Sebacina
Pholiota_limonella,2534267,SPECIES,Agaricales,Strophariaceae,Pholiota
Asterophora_lycoperdoides,9210867,SPECIES,Agaricales,Lyophyllaceae,Asterophora
Ductifera_pululahuana,3314622,SPECIES,Auriculariales,,Ductifera
Guepinia_helvelloides,8824388,SPECIES,Auriculariales,,Guepinia
Hydnoporia_tabacina,10700730,SPECIES,Hymenochaetales,Hymenochaetaceae,Hydnoporia
Hygrophoropsis_aurantiaca,9806953,SPECIES,Boletales,Hygrophoropsidaceae,Hygrophoropsis
Xeromphalina_campanella,2527302,SPECIES,Agaricales,Mycenaceae,Xeromphalina
Physalacria_inflata,2536938,SPECIES,Agaricales,Physalacriaceae,Physalacria
Bjerkandera_adusta,2543824,SPECIES,Polyporales,Phanerochaetaceae,Bjerkandera
Amanita_spreta,5452232,SPECIES,Agaricales,Amanitaceae,Amanita
Trametes_hirsuta,8032257,SPECIES,Polyporales,Polyporaceae,Trametes
Pleurocybella_porrigens,2538000,SPECIES,Agaricales,Marasmiaceae,Pleurocybella
Tyromyces_chioneus,2548515,SPECIES,Polyporales,Incrustoporiaceae,Tyromyces
Phallus_ravenelii,6014309,SPECIES,Phallales,Phallaceae,Phallus
Gloioxanthomyces_nitidus,7513750,SPECIES,Agaricales,Hygrophoraceae,Gloioxanthomyces
Trametes_pubescens,7621208,SPECIES,Polyporales,Polyporaceae,Trametes
Russula_brevipes,7240188,SPECIES,Russulales,Russulaceae,Russula
Pleurotus_pulmonarius,2526548,SPECIES,Agaricales,Pleurotaceae,Pleurotus
Tricholoma_equestre,3324883,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Volvariella_bombycina,5241399,SPECIES,Agaricales,Pluteaceae,Volvariella
Mycena_haematopus,2526942,SPECIES,Agaricales,Mycenaceae,Mycena
Lepiota_cristata,2535471,SPECIES,Agaricales,Agaricaceae,Lepiota
Lentinus_levis,2545525,SPECIES,Polyporales,Polyporaceae,Lentinus
Rhodocollybia_maculata,3321205,SPECIES,Agaricales,Omphalotaceae,Rhodocollybia
Tricholoma_saponaceum,3324249,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Inocybe_geophylla,3330851,SPECIES,Agaricales,Inocybaceae,Inocybe
Flammula_alnicola,3344235,SPECIES,Agaricales,Hymenogastraceae,Flammula
Auricularia_americana,5249296,SPECIES,Auriculariales,Auriculariaceae,Auricularia
Xanthoporia_radiata,7442237,SPECIES,Hymenochaetales,Hymenochaetaceae,Xanthoporia
Chalciporus_piperatus,9156243,SPECIES,Boletales,Boletaceae,Chalciporus
Laccaria_ochropurpurea,3351419,SPECIES,Agaricales,Hydnangiaceae,Laccaria
Lichenomphalia_hudsoniana,5244027,SPECIES,Agaricales,Hygrophoraceae,Lichenomphalia
Leccinum_scabrum,9141390,SPECIES,Boletales,Boletaceae,Leccinum
Picipes_badius,9439058,SPECIES,Polyporales,Polyporaceae,Picipes
Exidia_glandulosa,2553607,SPECIES,Auriculariales,Auriculariaceae,Exidia
Tricholoma_vaccinum,5241784,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Polyporus_radicatus,5246696,SPECIES,Polyporales,Polyporaceae,Polyporus
Trichaptum_abietinum,8690832,SPECIES,Hymenochaetales,,Trichaptum
Aleurodiscus_amorphus,9200548,SPECIES,Russulales,Stereaceae,Aleurodiscus
Hypholoma_capnoides,2533439,SPECIES,Agaricales,Strophariaceae,Hypholoma
Cortinarius_malicorius,2528800,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Lacrymaria_lacrymabunda,5242798,SPECIES,Agaricales,Psathyrellaceae,Lacrymaria
Amanita_bisporigera,5452051,SPECIES,Agaricales,Amanitaceae,Amanita
Lactarius_indigo,7240044,SPECIES,Russulales,Russulaceae,Lactarius
Amanita_rubescens,7496350,SPECIES,Agaricales,Amanitaceae,Amanita
Hygrocybe_cuspidata,7616172,SPECIES,Agaricales,Hygrophoraceae,Hygrocybe
Hemistropharia_albocrenulata,2529541,SPECIES,Agaricales,Tubariaceae,Hemistropharia
Parasola_plicatilis-similis,10790546,SPECIES,Agaricales,Psathyrellaceae,Parasola
Hygrocybe_punicea,2538552,SPECIES,Agaricales,Hygrophoraceae,Hygrocybe
Fomitopsis_pinicola,2542395,SPECIES,Polyporales,Fomitopsidaceae,Fomitopsis
Multiclavula_mucida,2555295,SPECIES,Cantharellales,Hydnaceae,Multiclavula
Chondrostereum_purpureum,2532944,SPECIES,Agaricales,Cyphellaceae,Chondrostereum
Cystoderma_amianthinum,5243525,SPECIES,Agaricales,Tricholomataceae,Cystoderma
Cerioporus_varius,9400640,SPECIES,Polyporales,Polyporaceae,Cerioporus
Amaropostia_stiptica,10792755,SPECIES,Polyporales,,Amaropostia
Cortinarius_traganus,2529113,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Grifola_frondosa,2540800,SPECIES,Polyporales,Grifolaceae,Grifola
Russula_cyanoxantha,2551542,SPECIES,Russulales,Russulaceae,Russula
Gymnopilus_luteus,3342895,SPECIES,Agaricales,Hymenogastraceae,Gymnopilus
Pholiota_aurivella,2534102,SPECIES,Agaricales,Strophariaceae,Pholiota
Trametes_ochracea,2548374,SPECIES,Polyporales,Polyporaceae,Trametes
Onnia_tomentosa,5237653,SPECIES,Hymenochaetales,Hymenochaetaceae,Onnia
Tricholomopsis_decora,9056826,SPECIES,Agaricales,Tricholomataceae,Tricholomopsis
Craterellus_ignicolor,2554581,SPECIES,Cantharellales,Hydnaceae,Craterellus
