gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
2574018997,2018-09-17,2018.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/38293252,21L,"-207874,38+330102,72",D,1A,30.0,3,M,,,,,MF,75.0,50,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'SB': 0.3, 'EP': 0.1}",5,1.5047882836811908
2563616612,2018-09-26,2018.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/38025089,21L,"-216319,81+319838,06",A,5A,30.0,4,F,P,,,,F,75.0,30,"{'FZ': 0.7, 'FT': 0.2, 'BP': 0.1}",3,0.8018185525433372
1701210968,2003-08-29,2003.0,Québec,Apioperdon pyriforme,928e412e-fc07-42a6-b5ff-ea58cd6a5f8b,21L,"-220780,40+314293,83",A,5S,30.0,3,F,,,,,F,85.0,30,"{'BP': 0.4, 'BG': 0.2, 'PE': 0.2, 'EO': 0.1, 'FN': 0.1}",5,1.4708084763221112
1135071426,2007-09-05,2007.0,Québec,Apioperdon pyriforme,CMMF009924,21L,"-211501,42+332165,97",C,1A,30.0,2,F,,,,,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135071293,2007-08-21,2007.0,Québec,Apioperdon pyriforme,CMMF009808,21L,"-214060,31+322843,05",A,5A,40.0,3,M,,,,,MF,35.0,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",5,1.5571130980576458
1135070562,2006-09-02,2006.0,Québec,Apioperdon pyriforme,CMMF009104,21L,"-209449,67+328601,31",B,1A,30.0,3,F,,,,,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135070505,2006-08-29,2006.0,Québec,Apioperdon pyriforme,CMMF009060,21L,"-211501,42+332165,97",C,1A,30.0,2,F,,,,,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135066686,2007-09-22,2007.0,Québec,Apioperdon pyriforme,CMMF010097,21L,"-212896,42+333890,27",C,1A,30.0,3,M,,,,,MF,75.0,JIN,"{'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1, 'SB': 0.3, 'EP': 0.1}",6,1.6434177197931796
4872286482,2023-08-27T09:21,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/180538488,21M,"-218694,50+361387,79",F,1A,20.0,1,F,,,,,F,85.0,VIN,"{'BJ': 0.6, 'ES': 0.4}",2,0.6730116670092565
4872145783,2023-09-02T18:12,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/181548211,21M,"-169128,75+350247,78",F,1AY,30.0,2,M,,,,,MF,75.0,VIN,"{'BJ': 0.4, 'ES': 0.2, 'EO': 0.1, 'SB': 0.2, 'EB': 0.1}",5,1.4708084763221112
