gbifID,eventDate,year,stateProvince,species,genus,family,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
1843246651,2017-07-04T19:10:29Z,2017,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/9898058,21E,"-196494,32+184731,93",B,1A,40.0,3,F,,,,,F,65.0,JIN,"{'EO': 0.5, 'PE': 0.2, 'BP': 0.1, 'RX': 0.1, 'SB': 0.1}",5,1.3592367006650063
4910983529,2024-07-17T05:28,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/230065444,21L,"-191027,75+335248,52",D,5S,20.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.2, 'BJ': 0.1, 'SE': 0.1, 'TO': 0.1}",6,1.6957425341696346
4525124333,2023-08-06T10:24:11,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/176985004,21L,"-138375,01+292827,98",C,1A,30.0,3,M,,,,,MF,85.0,JIN,"{'BP': 0.4, 'EO': 0.3, 'SB': 0.2, 'EU': 0.1}",4,1.2798542258336674
4414326761,2023-09-14T12:00:49,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/183278553,21L,"-150506,17+229663,40",A,1A,30.0,3,R,,,,,R,85.0,50,"{'SB': 0.7, 'EU': 0.2, 'PE': 0.1}",3,0.8018185525433372
4407257120,2023-08-10T13:05:33,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/180995219,21L,"-163241,90+274247,78",D,1A,30.0,3,F,,,,,F,75.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'BJ': 0.2, 'FI': 0.1, 'SB': 0.1}",5,1.5047882836811908
4399989419,2023-07-31T14:05,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/178884106,21L,"-167776,36+239629,81",C,1A,30.0,3,M,,,,,MF,55.0,JIN,"{'BP': 0.2, 'PE': 0.2, 'FN': 0.1, 'FX': 0.1, 'EB': 0.2, 'RX': 0.1, 'SB': 0.1}",7,1.8866967846580784
4177494598,2023-08-13T13:51:31,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/178219964,21L,"-199076,80+318711,35",A,8AM,20.0,3,M,,,,,MR,75.0,JIN,"{'PU': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'FT': 0.2}",5,1.5571130980576458
4172138352,2023-08-05T12:13:18,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/176791167,21L,"-196250,55+253947,88",B,1A,30.0,5,M,CPR,,,,MR,35.0,10,"{'RX': 0.6, 'FN': 0.2, 'FX': 0.2}",3,0.9502705392332347
4171961350,2023-07-26T13:05:55,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/175065963,21L,"-141534,52+246650,89",C,1A,30.0,3,M,,,,,MF,75.0,JIN,"{'EO': 0.4, 'BJ': 0.2, 'FI': 0.1, 'TO': 0.2, 'SE': 0.1}",5,1.4708084763221112
4028738580,2022-09-10T17:51,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/134491979,21L,"-194425,61+324166,20",B,1A,30.0,1,F,,,CP,,F,75.0,VIN,"{'HG': 0.4, 'ES': 0.3, 'EO': 0.2, 'BJ': 0.1}",4,1.2798542258336674
3881792525,2022-07-19T09:16:59,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/127370712,21L,"-212778,58+307695,70",A,3AN,30.0,1,F,,,,,F,75.0,JIN,"{'EO': 0.3, 'PE': 0.3, 'BJ': 0.1, 'FT': 0.1, 'PB': 0.2}",5,1.5047882836811908
1135071395,2007-08-28,2007,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF009877,21L,"-214308,15+336869,18",C,1A,31.0,2,M,,,CP,,MF,55.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EP': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135070179,2006-07-24,2006,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF008785,21L,"-214308,15+336869,18",C,1A,31.0,2,M,,,CP,,MF,55.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EP': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135068237,1976-07-20,1976,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF006759,21L,"-124449,93+295117,61",A,1A,30.0,2,M,,,,,MF,75.0,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EU': 0.1}",5,1.5571130980576458
4981985780,2023-08-19T16:55:36,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/251542949,21M,"-156940,83+366389,61",D,6S,20.0,3,F,,,,,F,85.0,50,"{'BP': 0.4, 'EO': 0.3, 'ES': 0.3}",3,1.0888999753452238
4500505770,2007-09-22T14:23,2007,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/118926839,21M,"-205518,05+338027,89",F,1AY,20.0,2,M,,,CP,,MF,65.0,VIN,"{'BJ': 0.4, 'BP': 0.1, 'EO': 0.1, 'ES': 0.1, 'EB': 0.1, 'EP': 0.1, 'SB': 0.1}",7,1.7480673485460891
4172290540,2023-08-07T13:10:34,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/177198011,21M,"-152506,79+380016,45",D,1A,30.0,2,F,,,,,F,85.0,VIN,"{'BP': 0.2, 'EO': 0.2, 'ES': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FT': 0.1}",6,1.7480673485460894
4171939311,2023-07-29T11:32:40,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/175607339,21M,"-173764,06+356310,00",D,2BD,20.0,4,M,CT,,,,MM,85.0,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.2, 'BP': 0.1, 'FN': 0.1, 'PE': 0.1}",6,1.6094379124341003
4171679333,2013-08-06,2013,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/40598112,21M,"-199551,28+373018,20",C,2BE,30.0,3,R,,,EC,1995.0,R,55.0,70,"{'SB': 0.8, 'EB': 0.1, 'EN': 0.1}",3,0.639031859650177
4028760887,2022-08-01T11:28:04,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/129139554,21M,"-152839,40+391534,00",F,1AY,20.0,2,F,,,EL,1985.0,F,55.0,VIN,"{'BP': 0.4, 'PE': 0.3, 'EO': 0.1, 'ES': 0.1, 'SB': 0.1}",5,1.4184836619456564
1701210723,2003-08-30,2003,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,60c112b4-02b4-4134-8044-53b2ca6d31dc,21M,"-175896,81+349798,38",D,1A,30.0,2,F,,,,,F,85.0,JIN,"{'BJ': 0.4, 'EO': 0.2, 'ES': 0.1, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6094379124341
