Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
87,"Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Megacollybia,Megacollybia rodmanii
87,Strobilomyces strobilaceus (Scop.) Berk.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,Strobilomyces strobilaceus
86,Omphalotus illudens (Schwein.) Bresinsky & Besl,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Omphalotus,Omphalotus illudens
86,Ramariopsis kunzei (Fr.) Corner,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Ramariopsis,Ramariopsis kunzei
85,Flammulina velutipes (Curtis) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes
83,Hymenopellis furfuracea (Peck) R.H.Petersen,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis,Hymenopellis furfuracea
82,Clavulina coralloides (L.) J.Schröt.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Clavulina,Clavulina coralloides
82,Lenzites betulinus (L.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lenzites,Lenzites betulinus
80,"Harrya chromipes (Frost) Halling, Nuhn, Osmundson & Manfr.Binder",Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Harrya,Harrya chromipes
79,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Mutinus,Mutinus ravenelii
78,Tylopilus felleus (Bull.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Tylopilus felleus
78,"Coprinellus micaceus (Bull.) Vilgalys, Hopple & Jacq.Johnson",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus
77,Armillaria ostoyae (Romagn.) Herink,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria ostoyae
75,Gliophorus psittacinus (Schaeff.) Herink,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Gliophorus,Gliophorus psittacinus
75,Oxyporus populinus (Schumach.) Donk,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Oxyporaceae,Oxyporus,Oxyporus populinus
75,Boletus chippewaensis A.H.Sm. & Thiers,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus chippewaensis
74,Daedaleopsis confragosa (Bolton) J.Schröt.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,Daedaleopsis confragosa
72,Coltricia perennis (L.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,Coltricia perennis
71,Leucoagaricus leucothites (Vittad.) Wasser,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus leucothites
69,Cortinarius violaceus (L.) Gray,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius violaceus
69,Tapinella atrotomentosa (Batsch) Šutara,Fungi,Basidiomycota,Agaricomycetes,Boletales,Tapinellaceae,Tapinella,Tapinella atrotomentosa
68,Galerina marginata (Batsch) Kühner,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina marginata
67,Phellinus igniarius (L.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Phellinus igniarius
67,Marasmius oreades (Bolton) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius oreades
67,Lentinus brumalis (Pers.) Zmitr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,Lentinus brumalis
67,Candolleomyces candolleanus (Fr.) D.Wächt. & A.Melzer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces candolleanus
66,Amanita brunnescens G.F.Atk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita brunnescens
